game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.0971329999999999
0, _random_splay, _black_, _0.10830699999999989
1, _random, _white_, _0.045034999999999985
1, _random_splay, _black_, _0.05576899999999998
2, _random, _white_, _0.06715699999999997
2, _random_splay, _black_, _0.06682999999999997
3, _random, _white_, _0.08277799999999992
3, _random_splay, _black_, _0.09070799999999991
4, _random, _white_, _0.06980799999999993
4, _random_splay, _black_, _0.07882299999999993
5, _random, _white_, _0.1451529999999998
5, _random_splay, _black_, _0.14258799999999983
6, _random, _white_, _0.02992000000000001
6, _random_splay, _black_, _0.031914000000000005
7, _random, _white_, _0.1766649999999998
7, _random_splay, _black_, _0.17162799999999975
8, _random, _white_, _0.059837999999999954
8, _random_splay, _black_, _0.06083999999999996
9, _random, _white_, _0.06686099999999998
9, _random_splay, _black_, _0.06096699999999999
10, _random, _white_, _0.06604699999999998
10, _random_splay, _black_, _0.08516199999999997
11, _random, _white_, _0.09008699999999992
11, _random_splay, _black_, _0.10583999999999995
12, _random, _white_, _0.29130999999999996
12, _random_splay, _black_, _0.2953949999999999
13, _random, _white_, _0.13805699999999982
13, _random_splay, _black_, _0.13664499999999985
14, _random, _white_, _0.06091899999999996
14, _random_splay, _black_, _0.07672499999999993
15, _random, _white_, _0.026929000000000005
15, _random_splay, _black_, _0.03390900000000001
16, _random, _white_, _0.048903999999999975
16, _random_splay, _black_, _0.05678399999999997
17, _random, _white_, _0.13984899999999983
17, _random_splay, _black_, _0.11471899999999988
18, _random, _white_, _0.07076699999999998
18, _random_splay, _black_, _0.08168699999999994
19, _random, _white_, _0.19501699999999975
19, _random_splay, _black_, _0.20900299999999972
20, _random, _white_, _0.12872499999999987
20, _random_splay, _black_, _0.15063699999999983
21, _random, _white_, _0.06382799999999995
21, _random_splay, _black_, _0.06183499999999995
22, _random, _white_, _0.08875599999999989
22, _random_splay, _black_, _0.08680199999999993
23, _random, _white_, _0.1021889999999999
23, _random_splay, _black_, _0.0858439999999999
24, _random, _white_, _0.08979199999999991
24, _random_splay, _black_, _0.0847169999999999
25, _random, _white_, _0.2302619999999997
25, _random_splay, _black_, _0.25238699999999964
26, _random, _white_, _0.12402399999999986
26, _random_splay, _black_, _0.12572199999999986
27, _random, _white_, _0.10465399999999987
27, _random_splay, _black_, _0.13276199999999988
28, _random, _white_, _0.30055800000000016
28, _random_splay, _black_, _0.3120410000000002
29, _random, _white_, _0.12957099999999985
29, _random_splay, _black_, _0.12193299999999985
30, _random, _white_, _0.12815799999999986
30, _random_splay, _black_, _0.13084299999999988
31, _random, _white_, _0.12958399999999987
31, _random_splay, _black_, _0.13146199999999983
32, _random, _white_, _0.1710129999999998
32, _random_splay, _black_, _0.1758239999999998
33, _random, _white_, _0.17611099999999974
33, _random_splay, _black_, _0.17056199999999977
34, _random, _white_, _0.030892000000000006
34, _random_splay, _black_, _0.031943000000000006
35, _random, _white_, _0.060842999999999973
35, _random_splay, _black_, _0.06880799999999994
36, _random, _white_, _0.23325499999999968
36, _random_splay, _black_, _0.23425199999999968
37, _random, _white_, _0.08277999999999992
37, _random_splay, _black_, _0.08975899999999991
38, _random, _white_, _0.13660799999999984
38, _random_splay, _black_, _0.12070899999999986
39, _random, _white_, _0.1006359999999999
39, _random_splay, _black_, _0.0969309999999999
40, _random, _white_, _0.027958
40, _random_splay, _black_, _0.019510999999999997
41, _random, _white_, _0.18522399999999983
41, _random_splay, _black_, _0.19596899999999975
42, _random, _white_, _0.18650699999999976
42, _random_splay, _black_, _0.2223829999999997
43, _random, _white_, _0.12070399999999987
43, _random_splay, _black_, _0.12761699999999987
44, _random, _white_, _0.04080899999999999
44, _random_splay, _black_, _0.029932
45, _random, _white_, _0.039966999999999996
45, _random_splay, _black_, _0.038851
46, _random, _white_, _0.09775999999999993
46, _random_splay, _black_, _0.08086999999999994
47, _random, _white_, _0.10676699999999988
47, _random_splay, _black_, _0.13660899999999984
48, _random, _white_, _0.10720599999999987
48, _random_splay, _black_, _0.12966399999999983
49, _random, _white_, _0.07872199999999993
49, _random_splay, _black_, _0.08976599999999992
50, _random, _white_, _0.07411699999999995
50, _random_splay, _black_, _0.07823399999999996
51, _random, _white_, _0.012948
51, _random_splay, _black_, _0.014879999999999997
52, _random, _white_, _0.009947999999999999
52, _random_splay, _black_, _0.009972000000000002
53, _random, _white_, _0.042897999999999985
53, _random_splay, _black_, _0.04615699999999999
54, _random, _white_, _0.18704699999999977
54, _random_splay, _black_, _0.2049479999999997
55, _random, _white_, _0.16037099999999982
55, _random_splay, _black_, _0.16476999999999978
56, _random, _white_, _0.11470299999999986
56, _random_splay, _black_, _0.11069899999999988
57, _random, _white_, _0.13958799999999982
57, _random_splay, _black_, _0.1485849999999998
58, _random, _white_, _0.18560299999999977
58, _random_splay, _black_, _0.18245899999999976
59, _random, _white_, _0.19040499999999974
59, _random_splay, _black_, _0.21851799999999968
60, _random, _white_, _0.05288799999999996
60, _random_splay, _black_, _0.07579399999999993
61, _random, _white_, _0.06691299999999997
61, _random_splay, _black_, _0.08078499999999997
62, _random, _white_, _0.2479999999999997
62, _random_splay, _black_, _0.27898299999999987
63, _random, _white_, _0.13809599999999986
63, _random_splay, _black_, _0.1388459999999999
64, _random, _white_, _0.13953399999999985
64, _random_splay, _black_, _0.15174699999999977
65, _random, _white_, _0.06588099999999995
65, _random_splay, _black_, _0.07466399999999994
66, _random, _white_, _0.14278499999999983
66, _random_splay, _black_, _0.1608039999999998
67, _random, _white_, _0.0869169999999999
67, _random_splay, _black_, _0.11482199999999988
68, _random, _white_, _0.2283289999999997
68, _random_splay, _black_, _0.22665599999999975
69, _random, _white_, _0.15523399999999982
69, _random_splay, _black_, _0.15949999999999984
70, _random, _white_, _0.13761699999999988
70, _random_splay, _black_, _0.15047099999999988
71, _random, _white_, _0.08067099999999999
71, _random_splay, _black_, _0.08591399999999996
72, _random, _white_, _0.10967899999999987
72, _random_splay, _black_, _0.1057719999999999
73, _random, _white_, _0.018938
73, _random_splay, _black_, _0.030924999999999998
74, _random, _white_, _0.15462999999999985
74, _random_splay, _black_, _0.1664679999999998
75, _random, _white_, _0.10769899999999992
75, _random_splay, _black_, _0.11263099999999993
76, _random, _white_, _0.0935989999999999
76, _random_splay, _black_, _0.09197499999999989
77, _random, _white_, _0.07730299999999993
77, _random_splay, _black_, _0.0906809999999999
78, _random, _white_, _0.07222599999999994
78, _random_splay, _black_, _0.07288899999999993
79, _random, _white_, _0.08374699999999992
79, _random_splay, _black_, _0.07143399999999994
80, _random, _white_, _0.06499499999999997
80, _random_splay, _black_, _0.068128
81, _random, _white_, _0.1636209999999998
81, _random_splay, _black_, _0.1732569999999998
82, _random, _white_, _0.15428499999999987
82, _random_splay, _black_, _0.16469799999999982
83, _random, _white_, _0.29203000000000007
83, _random_splay, _black_, _0.2987510000000002
84, _random, _white_, _0.11360599999999986
84, _random_splay, _black_, _0.11974199999999986
85, _random, _white_, _0.17956899999999976
85, _random_splay, _black_, _0.18767899999999976
86, _random, _white_, _0.24789199999999967
86, _random_splay, _black_, _0.26730599999999977
87, _random, _white_, _0.3051989999999999
87, _random_splay, _black_, _0.325619
88, _random, _white_, _0.020956
88, _random_splay, _black_, _0.024142000000000004
89, _random, _white_, _0.05410799999999998
89, _random_splay, _black_, _0.07577999999999993
90, _random, _white_, _0.015020999999999998
90, _random_splay, _black_, _0.027895000000000007
91, _random, _white_, _0.0
91, _random_splay, _black_, _0.001994
92, _random, _white_, _0.15236999999999984
92, _random_splay, _black_, _0.1592159999999998
93, _random, _white_, _0.08472099999999994
93, _random_splay, _black_, _0.0949329999999999
94, _random, _white_, _0.07466099999999994
94, _random_splay, _black_, _0.09079399999999992
