game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.28226600000000013
0, _alpha_beta_splay, _black_, _0.31014699999999995
1, _alpha_beta, _white_, _0.3550350000000002
1, _alpha_beta_splay, _black_, _0.40396200000000027
2, _alpha_beta, _white_, _0.19939999999999988
2, _alpha_beta_splay, _black_, _0.2454109999999999
3, _alpha_beta, _white_, _0.4558100000000006
3, _alpha_beta_splay, _black_, _0.4048670000000002
4, _alpha_beta, _white_, _0.4472850000000002
4, _alpha_beta_splay, _black_, _0.31530100000000016
5, _alpha_beta, _white_, _0.392201
5, _alpha_beta_splay, _black_, _0.21096299999999998
6, _alpha_beta, _white_, _0.413983
6, _alpha_beta_splay, _black_, _0.22258099999999986
7, _alpha_beta, _white_, _0.4786220000000006
7, _alpha_beta_splay, _black_, _0.2839090000000002
8, _alpha_beta, _white_, _0.32102200000000025
8, _alpha_beta_splay, _black_, _0.3876860000000006
9, _alpha_beta, _white_, _0.4458350000000006
9, _alpha_beta_splay, _black_, _0.4129400000000011
10, _alpha_beta, _white_, _0.30228399999999994
10, _alpha_beta_splay, _black_, _0.4199040000000002
11, _alpha_beta, _white_, _0.2801930000000002
11, _alpha_beta_splay, _black_, _0.39501200000000025
12, _alpha_beta, _white_, _0.35091500000000025
12, _alpha_beta_splay, _black_, _0.27439100000000005
13, _alpha_beta, _white_, _0.39487399999999995
13, _alpha_beta_splay, _black_, _0.217463
14, _alpha_beta, _white_, _0.369511
14, _alpha_beta_splay, _black_, _0.3023360000000004
15, _alpha_beta, _white_, _0.102118
15, _alpha_beta_splay, _black_, _0.034927
16, _alpha_beta, _white_, _0.368015
16, _alpha_beta_splay, _black_, _0.2503039999999998
17, _alpha_beta, _white_, _0.2213839999999998
17, _alpha_beta_splay, _black_, _0.3650740000000002
18, _alpha_beta, _white_, _0.209424
18, _alpha_beta_splay, _black_, _0.08184
19, _alpha_beta, _white_, _0.21474199999999996
19, _alpha_beta_splay, _black_, _0.3644679999999999
20, _alpha_beta, _white_, _0.38269400000000015
20, _alpha_beta_splay, _black_, _0.33120200000000044
21, _alpha_beta, _white_, _0.30387000000000003
21, _alpha_beta_splay, _black_, _0.3280200000000001
22, _alpha_beta, _white_, _0.306416
22, _alpha_beta_splay, _black_, _0.34340100000000034
23, _alpha_beta, _white_, _0.19825499999999996
23, _alpha_beta_splay, _black_, _0.241444
24, _alpha_beta, _white_, _0.072918
