game_number, agent_type, agent_color, agent_decision_time
55, _alpha_beta_splay, _black_, _0.3937650000000002
56, _alpha_beta, _white_, _0.26190300000000005
56, _alpha_beta_splay, _black_, _0.3901550000000001
57, _alpha_beta, _white_, _0.299756
57, _alpha_beta_splay, _black_, _0.27919100000000024
58, _alpha_beta, _white_, _0.25676799999999994
58, _alpha_beta_splay, _black_, _0.2314059999999999
59, _alpha_beta, _white_, _0.3401060000000004
59, _alpha_beta_splay, _black_, _0.2972550000000002
60, _alpha_beta, _white_, _0.26431899999999986
60, _alpha_beta_splay, _black_, _0.43227900000000047
61, _alpha_beta, _white_, _0.5281170000000001
61, _alpha_beta_splay, _black_, _0.1865589999999999
62, _alpha_beta, _white_, _0.187618
62, _alpha_beta_splay, _black_, _0.169384
63, _alpha_beta, _white_, _0.17893499999999998
63, _alpha_beta_splay, _black_, _0.2818290000000001
64, _alpha_beta, _white_, _0.2541549999999999
64, _alpha_beta_splay, _black_, _0.34300699999999995
65, _alpha_beta, _white_, _0.49817000000000017
65, _alpha_beta_splay, _black_, _0.29149600000000003
66, _alpha_beta, _white_, _0.3811080000000002
66, _alpha_beta_splay, _black_, _0.2934879999999999
67, _alpha_beta, _white_, _0.5440910000000004
67, _alpha_beta_splay, _black_, _0.3350990000000006
68, _alpha_beta, _white_, _0.4183420000000003
68, _alpha_beta_splay, _black_, _0.514424
69, _alpha_beta, _white_, _0.35296499999999986
69, _alpha_beta_splay, _black_, _0.3352950000000003
70, _alpha_beta, _white_, _0.23997899999999994
70, _alpha_beta_splay, _black_, _0.441533
71, _alpha_beta, _white_, _0.38062900000000016
71, _alpha_beta_splay, _black_, _0.25526
72, _alpha_beta, _white_, _0.3032170000000001
72, _alpha_beta_splay, _black_, _0.30186499999999983
73, _alpha_beta, _white_, _0.28966400000000014
73, _alpha_beta_splay, _black_, _0.21835899999999991
74, _alpha_beta, _white_, _0.31711799999999996
74, _alpha_beta_splay, _black_, _0.2480509999999999
75, _alpha_beta, _white_, _0.36678300000000014
75, _alpha_beta_splay, _black_, _0.34910400000000014
76, _alpha_beta, _white_, _0.12725999999999998
76, _alpha_beta_splay, _black_, _0.2335190000000001
77, _alpha_beta, _white_, _0.3359060000000001
77, _alpha_beta_splay, _black_, _0.10269699999999994
78, _alpha_beta, _white_, _0.20988299999999993
