game_number, agent_type, agent_color, agent_decision_time
55, _alpha_beta_trie, _black_, _0.088763
56, _alpha_beta, _white_, _0.2909010000000003
56, _alpha_beta_trie, _black_, _0.3559800000000003
57, _alpha_beta, _white_, _0.27817600000000026
57, _alpha_beta_trie, _black_, _0.404003
58, _alpha_beta, _white_, _0.2523270000000001
58, _alpha_beta_trie, _black_, _0.17154099999999994
59, _alpha_beta, _white_, _0.182567
59, _alpha_beta_trie, _black_, _0.16956
60, _alpha_beta, _white_, _0.21977399999999986
60, _alpha_beta_trie, _black_, _0.44134600000000007
61, _alpha_beta, _white_, _0.19745
61, _alpha_beta_trie, _black_, _0.25132399999999994
62, _alpha_beta, _white_, _0.27227900000000005
62, _alpha_beta_trie, _black_, _0.187465
63, _alpha_beta, _white_, _0.3475990000000003
63, _alpha_beta_trie, _black_, _0.30640500000000026
64, _alpha_beta, _white_, _0.36200300000000013
64, _alpha_beta_trie, _black_, _0.24300799999999997
65, _alpha_beta, _white_, _0.30924399999999996
65, _alpha_beta_trie, _black_, _0.3040900000000003
66, _alpha_beta, _white_, _0.06983699999999998
66, _alpha_beta_trie, _black_, _0.18946899999999994
67, _alpha_beta, _white_, _0.14860099999999998
67, _alpha_beta_trie, _black_, _0.17556900000000003
68, _alpha_beta, _white_, _0.317999
68, _alpha_beta_trie, _black_, _0.2134979999999999
69, _alpha_beta, _white_, _0.161529
69, _alpha_beta_trie, _black_, _0.10074399999999999
70, _alpha_beta, _white_, _0.2802669999999998
70, _alpha_beta_trie, _black_, _0.7692590000000004
71, _alpha_beta, _white_, _0.5784949999999999
71, _alpha_beta_trie, _black_, _0.2455019999999999
72, _alpha_beta, _white_, _0.19549999999999992
72, _alpha_beta_trie, _black_, _0.29620900000000006
73, _alpha_beta, _white_, _0.5921370000000004
73, _alpha_beta_trie, _black_, _0.3798820000000004
74, _alpha_beta, _white_, _0.49476500000000023
74, _alpha_beta_trie, _black_, _0.3639340000000005
75, _alpha_beta, _white_, _0.2368609999999998
75, _alpha_beta_trie, _black_, _0.45820000000000016
76, _alpha_beta, _white_, _0.27413899999999986
76, _alpha_beta_trie, _black_, _0.24444999999999978
77, _alpha_beta, _white_, _0.3623150000000001
77, _alpha_beta_trie, _black_, _0.37045700000000026
78, _alpha_beta, _white_, _0.23234399999999986
78, _alpha_beta_trie, _black_, _0.489725
79, _alpha_beta, _white_, _0.042886
79, _alpha_beta_trie, _black_, _0.022938999999999998
80, _alpha_beta, _white_, _0.212886
80, _alpha_beta_trie, _black_, _0.36472800000000005
81, _alpha_beta, _white_, _0.36044100000000023
81, _alpha_beta_trie, _black_, _0.38914900000000036
82, _alpha_beta, _white_, _0.3784000000000003
82, _alpha_beta_trie, _black_, _0.44652100000000033
83, _alpha_beta, _white_, _0.32217900000000016
83, _alpha_beta_trie, _black_, _0.12073099999999999
84, _alpha_beta, _white_, _0.42298499999999994
84, _alpha_beta_trie, _black_, _0.19799199999999986
85, _alpha_beta, _white_, _0.405976
85, _alpha_beta_trie, _black_, _0.19899399999999984
86, _alpha_beta, _white_, _0.25031499999999995
86, _alpha_beta_trie, _black_, _0.352019
87, _alpha_beta, _white_, _0.24434199999999978
87, _alpha_beta_trie, _black_, _0.7380240000000002
88, _alpha_beta, _white_, _0.3864080000000004
88, _alpha_beta_trie, _black_, _0.437025
89, _alpha_beta, _white_, _0.530856
89, _alpha_beta_trie, _black_, _0.2370729999999998
90, _alpha_beta, _white_, _0.37824100000000016
90, _alpha_beta_trie, _black_, _0.37393700000000013
91, _alpha_beta, _white_, _0.33933900000000006
91, _alpha_beta_trie, _black_, _0.35016100000000017
92, _alpha_beta, _white_, _0.20846099999999987
92, _alpha_beta_trie, _black_, _0.27475400000000016
93, _alpha_beta, _white_, _0.41096500000000036
93, _alpha_beta_trie, _black_, _0.2602359999999998
94, _alpha_beta, _white_, _0.298292
94, _alpha_beta_trie, _black_, _0.4012789999999999
95, _alpha_beta, _white_, _0.12322799999999999
95, _alpha_beta_trie, _black_, _0.07278299999999999
96, _alpha_beta, _white_, _0.46863300000000074
96, _alpha_beta_trie, _black_, _0.5145990000000003
97, _alpha_beta, _white_, _0.27171199999999995
97, _alpha_beta_trie, _black_, _0.2636070000000001
98, _alpha_beta, _white_, _0.23900099999999982
98, _alpha_beta_trie, _black_, _0.29667800000000016
99, _alpha_beta, _white_, _0.3619099999999999
99, _alpha_beta_trie, _black_, _0.399951
100, _alpha_beta, _white_, _0.33459500000000014
100, _alpha_beta_trie, _black_, _0.2298489999999999
101, _alpha_beta, _white_, _0.31946300000000005
101, _alpha_beta_trie, _black_, _0.3483200000000004
102, _alpha_beta, _white_, _0.3117960000000002
102, _alpha_beta_trie, _black_, _0.2763320000000001
103, _alpha_beta, _white_, _0.2839460000000001
103, _alpha_beta_trie, _black_, _0.28702599999999984
104, _alpha_beta, _white_, _0.2786839999999999
104, _alpha_beta_trie, _black_, _0.22801599999999994
105, _alpha_beta, _white_, _0.28127799999999986
105, _alpha_beta_trie, _black_, _0.3649920000000001
106, _alpha_beta, _white_, _0.42994100000000035
106, _alpha_beta_trie, _black_, _0.5476490000000009
107, _alpha_beta, _white_, _0.3481870000000004
107, _alpha_beta_trie, _black_, _0.9782990000000007
108, _alpha_beta, _white_, _0.3398610000000001
108, _alpha_beta_trie, _black_, _0.5257220000000001
109, _alpha_beta, _white_, _0.33014100000000013
109, _alpha_beta_trie, _black_, _0.2707579999999999
110, _alpha_beta, _white_, _0.5273240000000003
110, _alpha_beta_trie, _black_, _0.46053800000000017
111, _alpha_beta, _white_, _0.4319730000000003
111, _alpha_beta_trie, _black_, _0.4263840000000005
