game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.2879590000000001
0, _alpha_beta_rb, _black_, _0.4205000000000004
1, _alpha_beta, _white_, _0.32441800000000004
1, _alpha_beta_rb, _black_, _0.23437399999999997
2, _alpha_beta, _white_, _0.25888200000000006
2, _alpha_beta_rb, _black_, _0.15200299999999997
3, _alpha_beta, _white_, _0.31002100000000016
3, _alpha_beta_rb, _black_, _0.3196819999999999
4, _alpha_beta, _white_, _0.3657150000000003
4, _alpha_beta_rb, _black_, _0.27854100000000004
5, _alpha_beta, _white_, _0.28735899999999986
5, _alpha_beta_rb, _black_, _0.300118
6, _alpha_beta, _white_, _0.1914239999999999
6, _alpha_beta_rb, _black_, _0.31554100000000007
7, _alpha_beta, _white_, _0.2703539999999999
7, _alpha_beta_rb, _black_, _0.3377260000000001
8, _alpha_beta, _white_, _0.354514
8, _alpha_beta_rb, _black_, _0.28560100000000016
9, _alpha_beta, _white_, _0.42190300000000014
9, _alpha_beta_rb, _black_, _0.49168500000000026
10, _alpha_beta, _white_, _0.24730699999999986
10, _alpha_beta_rb, _black_, _0.27125199999999994
11, _alpha_beta, _white_, _0.3210899999999998
11, _alpha_beta_rb, _black_, _0.33413300000000024
12, _alpha_beta, _white_, _0.30944799999999995
12, _alpha_beta_rb, _black_, _0.22641599999999992
13, _alpha_beta, _white_, _0.2941609999999999
13, _alpha_beta_rb, _black_, _0.21397999999999992
14, _alpha_beta, _white_, _0.4317359999999999
14, _alpha_beta_rb, _black_, _0.29233499999999996
15, _alpha_beta, _white_, _0.08379899999999997
15, _alpha_beta_rb, _black_, _0.18744600000000003
16, _alpha_beta, _white_, _0.269816
16, _alpha_beta_rb, _black_, _0.19911599999999996
17, _alpha_beta, _white_, _0.40078600000000036
17, _alpha_beta_rb, _black_, _0.43738200000000044
18, _alpha_beta, _white_, _0.3860130000000004
18, _alpha_beta_rb, _black_, _0.48926900000000073
19, _alpha_beta, _white_, _0.22832899999999992
19, _alpha_beta_rb, _black_, _0.5102870000000002
20, _alpha_beta, _white_, _0.3113140000000001
20, _alpha_beta_rb, _black_, _0.261866
21, _alpha_beta, _white_, _0.4444540000000002
21, _alpha_beta_rb, _black_, _0.5399790000000007
22, _alpha_beta, _white_, _0.39836299999999997
22, _alpha_beta_rb, _black_, _0.21353599999999998
23, _alpha_beta, _white_, _0.3121880000000001
23, _alpha_beta_rb, _black_, _0.24933699999999995
24, _alpha_beta, _white_, _0.27261999999999975
24, _alpha_beta_rb, _black_, _0.402531
25, _alpha_beta, _white_, _0.046864
25, _alpha_beta_rb, _black_, _0.12668799999999997
26, _alpha_beta, _white_, _0.27600700000000006
26, _alpha_beta_rb, _black_, _0.24448100000000006
27, _alpha_beta, _white_, _0.252346
27, _alpha_beta_rb, _black_, _0.32860599999999995
28, _alpha_beta, _white_, _0.360652
28, _alpha_beta_rb, _black_, _0.28491000000000005
29, _alpha_beta, _white_, _0.21069099999999985
29, _alpha_beta_rb, _black_, _0.32370000000000004
30, _alpha_beta, _white_, _0.3746840000000002
30, _alpha_beta_rb, _black_, _0.27735000000000015
31, _alpha_beta, _white_, _0.22457799999999986
31, _alpha_beta_rb, _black_, _0.43431600000000004
32, _alpha_beta, _white_, _0.2498629999999998
32, _alpha_beta_rb, _black_, _0.15853599999999993
33, _alpha_beta, _white_, _0.3341230000000001
33, _alpha_beta_rb, _black_, _0.4179130000000004
34, _alpha_beta, _white_, _0.21442999999999995
34, _alpha_beta_rb, _black_, _0.32812199999999997
35, _alpha_beta, _white_, _0.1947519999999999
35, _alpha_beta_rb, _black_, _0.35745
36, _alpha_beta, _white_, _0.15058399999999994
36, _alpha_beta_rb, _black_, _0.3160920000000001
37, _alpha_beta, _white_, _0.3470970000000001
37, _alpha_beta_rb, _black_, _0.4936540000000001
38, _alpha_beta, _white_, _0.24140499999999981
38, _alpha_beta_rb, _black_, _0.33722600000000014
39, _alpha_beta, _white_, _0.24839999999999987
39, _alpha_beta_rb, _black_, _0.3643240000000001
40, _alpha_beta, _white_, _0.3759260000000002
40, _alpha_beta_rb, _black_, _0.30952900000000017
41, _alpha_beta, _white_, _0.2594819999999999
41, _alpha_beta_rb, _black_, _0.3668740000000001
42, _alpha_beta, _white_, _0.5433760000000002
42, _alpha_beta_rb, _black_, _0.4779580000000007
43, _alpha_beta, _white_, _0.38506700000000016
43, _alpha_beta_rb, _black_, _0.30874300000000027
44, _alpha_beta, _white_, _0.5385000000000001
44, _alpha_beta_rb, _black_, _0.12471799999999995
45, _alpha_beta, _white_, _0.31959500000000013
45, _alpha_beta_rb, _black_, _0.384204
46, _alpha_beta, _white_, _0.43841800000000025
