game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.24342400000000008
0, _alpha_beta_avl, _black_, _0.12564699999999998
1, _alpha_beta, _white_, _0.1873019999999999
1, _alpha_beta_avl, _black_, _0.26934400000000014
2, _alpha_beta, _white_, _0.42422400000000055
2, _alpha_beta_avl, _black_, _0.39785500000000035
3, _alpha_beta, _white_, _0.3927820000000003
3, _alpha_beta_avl, _black_, _0.4074360000000003
4, _alpha_beta, _white_, _0.27917000000000025
4, _alpha_beta_avl, _black_, _0.305263
5, _alpha_beta, _white_, _0.25335799999999986
5, _alpha_beta_avl, _black_, _0.3170890000000001
6, _alpha_beta, _white_, _0.3330850000000002
6, _alpha_beta_avl, _black_, _0.43089400000000005
7, _alpha_beta, _white_, _0.4311110000000001
7, _alpha_beta_avl, _black_, _0.38666300000000015
8, _alpha_beta, _white_, _0.19214100000000003
8, _alpha_beta_avl, _black_, _0.13204799999999997
9, _alpha_beta, _white_, _0.34213100000000024
9, _alpha_beta_avl, _black_, _0.2950670000000003
10, _alpha_beta, _white_, _0.2813479999999998
10, _alpha_beta_avl, _black_, _0.21541999999999986
11, _alpha_beta, _white_, _0.248846
11, _alpha_beta_avl, _black_, _0.22187900000000002
12, _alpha_beta, _white_, _0.13876599999999997
12, _alpha_beta_avl, _black_, _0.16487800000000002
13, _alpha_beta, _white_, _0.3760610000000003
13, _alpha_beta_avl, _black_, _0.30347
14, _alpha_beta, _white_, _0.4748260000000001
14, _alpha_beta_avl, _black_, _0.3419899999999999
15, _alpha_beta, _white_, _0.6123800000000005
15, _alpha_beta_avl, _black_, _0.37848100000000034
16, _alpha_beta, _white_, _0.291228
16, _alpha_beta_avl, _black_, _0.4487690000000002
17, _alpha_beta, _white_, _0.21834899999999982
17, _alpha_beta_avl, _black_, _0.48363700000000015
18, _alpha_beta, _white_, _0.20152299999999987
18, _alpha_beta_avl, _black_, _0.3730269999999999
19, _alpha_beta, _white_, _0.2520130000000001
19, _alpha_beta_avl, _black_, _0.26023599999999997
20, _alpha_beta, _white_, _0.16354400000000002
20, _alpha_beta_avl, _black_, _0.107731
21, _alpha_beta, _white_, _0.3948600000000001
21, _alpha_beta_avl, _black_, _0.33017000000000024
22, _alpha_beta, _white_, _0.30239800000000006
22, _alpha_beta_avl, _black_, _0.381091
23, _alpha_beta, _white_, _0.2880309999999999
23, _alpha_beta_avl, _black_, _0.1963699999999999
24, _alpha_beta, _white_, _0.25836299999999995
24, _alpha_beta_avl, _black_, _0.36965599999999976
25, _alpha_beta, _white_, _0.329343
25, _alpha_beta_avl, _black_, _0.27091799999999994
26, _alpha_beta, _white_, _0.3065100000000002
26, _alpha_beta_avl, _black_, _0.260515
27, _alpha_beta, _white_, _0.4014299999999998
27, _alpha_beta_avl, _black_, _0.52798
28, _alpha_beta, _white_, _0.25826999999999983
28, _alpha_beta_avl, _black_, _0.34710000000000013
29, _alpha_beta, _white_, _0.3280960000000002
29, _alpha_beta_avl, _black_, _0.6174020000000003
30, _alpha_beta, _white_, _0.26445200000000013
30, _alpha_beta_avl, _black_, _0.32218100000000016
31, _alpha_beta, _white_, _0.380757
31, _alpha_beta_avl, _black_, _0.22917399999999985
32, _alpha_beta, _white_, _0.4385840000000003
32, _alpha_beta_avl, _black_, _0.44033000000000083
33, _alpha_beta, _white_, _0.23890799999999995
33, _alpha_beta_avl, _black_, _0.2906129999999999
34, _alpha_beta, _white_, _0.34036099999999997
34, _alpha_beta_avl, _black_, _0.21485599999999994
35, _alpha_beta, _white_, _0.2543500000000001
35, _alpha_beta_avl, _black_, _0.22836
36, _alpha_beta, _white_, _0.3378850000000002
36, _alpha_beta_avl, _black_, _0.2834170000000001
37, _alpha_beta, _white_, _0.30512599999999995
37, _alpha_beta_avl, _black_, _0.42621000000000014
38, _alpha_beta, _white_, _0.28630499999999987
