game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.1347199999999998
0, _random_hash, _black_, _0.11929399999999987
1, _random, _white_, _0.0897529999999999
1, _random_hash, _black_, _0.09178399999999994
2, _random, _white_, _0.03791999999999999
2, _random_hash, _black_, _0.037904
3, _random, _white_, _0.028924000000000002
3, _random_hash, _black_, _0.021994000000000003
4, _random, _white_, _0.11079199999999989
4, _random_hash, _black_, _0.11137599999999995
5, _random, _white_, _0.05780099999999998
5, _random_hash, _black_, _0.08031699999999993
6, _random, _white_, _0.07285399999999995
6, _random_hash, _black_, _0.08855199999999992
7, _random, _white_, _0.14394199999999985
7, _random_hash, _black_, _0.1588869999999998
8, _random, _white_, _0.16555099999999978
8, _random_hash, _black_, _0.16323599999999983
9, _random, _white_, _0.15876299999999985
9, _random_hash, _black_, _0.14938199999999988
10, _random, _white_, _0.21151899999999976
10, _random_hash, _black_, _0.20497699999999974
11, _random, _white_, _0.1107889999999999
11, _random_hash, _black_, _0.10275599999999989
12, _random, _white_, _0.08298599999999993
12, _random_hash, _black_, _0.10376999999999989
13, _random, _white_, _0.1406219999999999
13, _random_hash, _black_, _0.14704999999999985
14, _random, _white_, _0.24686499999999964
14, _random_hash, _black_, _0.2535029999999997
15, _random, _white_, _0.0927439999999999
15, _random_hash, _black_, _0.0996019999999999
16, _random, _white_, _0.028900000000000006
16, _random_hash, _black_, _0.017953
17, _random, _white_, _0.008993
17, _random_hash, _black_, _0.013947000000000001
18, _random, _white_, _0.08773299999999991
18, _random_hash, _black_, _0.0877699999999999
19, _random, _white_, _0.030916000000000003
19, _random_hash, _black_, _0.021004000000000002
20, _random, _white_, _0.06186599999999997
20, _random_hash, _black_, _0.06775699999999998
21, _random, _white_, _0.11159199999999989
21, _random_hash, _black_, _0.11578999999999989
22, _random, _white_, _0.2512129999999997
22, _random_hash, _black_, _0.23648099999999966
23, _random, _white_, _0.17658599999999983
23, _random_hash, _black_, _0.17944299999999977
24, _random, _white_, _0.003988
24, _random_hash, _black_, _0.0050160000000000005
25, _random, _white_, _0.21347199999999972
25, _random_hash, _black_, _0.2153399999999997
26, _random, _white_, _0.07878899999999998
26, _random_hash, _black_, _0.08473599999999992
27, _random, _white_, _0.11366399999999985
27, _random_hash, _black_, _0.1326859999999999
28, _random, _white_, _0.05780599999999996
28, _random_hash, _black_, _0.06885299999999994
29, _random, _white_, _0.1306889999999998
29, _random_hash, _black_, _0.1257059999999999
30, _random, _white_, _0.16011399999999978
30, _random_hash, _black_, _0.16873899999999983
31, _random, _white_, _0.14354799999999987
31, _random_hash, _black_, _0.14269399999999985
32, _random, _white_, _0.13864199999999982
32, _random_hash, _black_, _0.13566599999999984
33, _random, _white_, _0.07180699999999994
33, _random_hash, _black_, _0.06582499999999995
34, _random, _white_, _0.04387899999999998
34, _random_hash, _black_, _0.04188899999999999
35, _random, _white_, _0.07180699999999994
35, _random_hash, _black_, _0.08776899999999992
36, _random, _white_, _0.1496689999999998
36, _random_hash, _black_, _0.1461159999999998
37, _random, _white_, _0.12029899999999988
37, _random_hash, _black_, _0.12031399999999988
38, _random, _white_, _0.08993099999999991
38, _random_hash, _black_, _0.08107699999999994
39, _random, _white_, _0.16877499999999984
39, _random_hash, _black_, _0.1593609999999998
40, _random, _white_, _0.008977
40, _random_hash, _black_, _0.002991
41, _random, _white_, _0.07932399999999995
41, _random_hash, _black_, _0.06994299999999999
42, _random, _white_, _0.29925000000000007
42, _random_hash, _black_, _0.282157
43, _random, _white_, _0.1088039999999999
43, _random_hash, _black_, _0.1106319999999999
44, _random, _white_, _0.08477599999999992
44, _random_hash, _black_, _0.07981099999999992
45, _random, _white_, _0.07777699999999993
45, _random_hash, _black_, _0.07580499999999996
46, _random, _white_, _0.18153899999999976
46, _random_hash, _black_, _0.16650899999999977
47, _random, _white_, _0.012965999999999998
47, _random_hash, _black_, _0.011967
48, _random, _white_, _0.030909000000000002
48, _random_hash, _black_, _0.04500399999999999
49, _random, _white_, _0.1222869999999999
49, _random_hash, _black_, _0.14318599999999987
50, _random, _white_, _0.1447089999999998
50, _random_hash, _black_, _0.13591599999999987
51, _random, _white_, _0.08635299999999999
51, _random_hash, _black_, _0.06659299999999999
52, _random, _white_, _0.27437499999999976
52, _random_hash, _black_, _0.2824189999999999
53, _random, _white_, _0.06481899999999996
53, _random_hash, _black_, _0.05987499999999999
54, _random, _white_, _0.21006999999999973
54, _random_hash, _black_, _0.2240349999999997
55, _random, _white_, _0.06494699999999999
55, _random_hash, _black_, _0.05969799999999996
56, _random, _white_, _0.08484799999999994
56, _random_hash, _black_, _0.09974699999999992
57, _random, _white_, _0.1046689999999999
57, _random_hash, _black_, _0.13159899999999988
58, _random, _white_, _0.06285899999999996
58, _random_hash, _black_, _0.05983999999999996
59, _random, _white_, _0.14987299999999984
59, _random_hash, _black_, _0.13058799999999984
60, _random, _white_, _0.027999000000000007
60, _random_hash, _black_, _0.04078
61, _random, _white_, _0.05716399999999997
61, _random_hash, _black_, _0.06391299999999997
62, _random, _white_, _0.05485499999999997
62, _random_hash, _black_, _0.05884099999999996
63, _random, _white_, _0.18919899999999976
63, _random_hash, _black_, _0.18702499999999972
64, _random, _white_, _0.06387999999999996
64, _random_hash, _black_, _0.07170799999999994
65, _random, _white_, _0.15127299999999985
65, _random_hash, _black_, _0.15360999999999989
66, _random, _white_, _0.11657199999999986
66, _random_hash, _black_, _0.13077899999999987
67, _random, _white_, _0.2264459999999997
67, _random_hash, _black_, _0.23247899999999966
68, _random, _white_, _0.0987449999999999
68, _random_hash, _black_, _0.10873599999999987
69, _random, _white_, _0.10763899999999993
69, _random_hash, _black_, _0.11846999999999992
70, _random, _white_, _0.1588899999999999
70, _random_hash, _black_, _0.15752699999999978
71, _random, _white_, _0.09401199999999992
71, _random_hash, _black_, _0.09538899999999993
72, _random, _white_, _0.11280399999999988
72, _random_hash, _black_, _0.10455099999999991
73, _random, _white_, _0.24065399999999973
73, _random_hash, _black_, _0.2658999999999998
74, _random, _white_, _0.08183799999999995
