game_number, agent_type, agent_color, agent_decision_time
55, _alpha_beta, _white_, _0.28937700000000016
55, _alpha_beta_hash, _black_, _0.4198310000000001
56, _alpha_beta, _white_, _0.3797990000000003
56, _alpha_beta_hash, _black_, _0.3632550000000008
57, _alpha_beta, _white_, _0.29833899999999997
57, _alpha_beta_hash, _black_, _0.2612670000000001
58, _alpha_beta, _white_, _0.33505100000000015
58, _alpha_beta_hash, _black_, _0.26265599999999995
59, _alpha_beta, _white_, _0.37486100000000033
59, _alpha_beta_hash, _black_, _0.39510400000000023
60, _alpha_beta, _white_, _0.4292360000000001
60, _alpha_beta_hash, _black_, _0.37180900000000067
61, _alpha_beta, _white_, _0.30429100000000014
61, _alpha_beta_hash, _black_, _0.2651239999999999
62, _alpha_beta, _white_, _0.35208800000000007
62, _alpha_beta_hash, _black_, _0.42184100000000035
63, _alpha_beta, _white_, _0.184512
63, _alpha_beta_hash, _black_, _0.17549800000000004
64, _alpha_beta, _white_, _0.3262539999999999
64, _alpha_beta_hash, _black_, _0.1883699999999999
65, _alpha_beta, _white_, _0.2403879999999999
65, _alpha_beta_hash, _black_, _0.3081840000000001
66, _alpha_beta, _white_, _0.4175850000000001
66, _alpha_beta_hash, _black_, _0.260861
67, _alpha_beta, _white_, _0.37558100000000033
67, _alpha_beta_hash, _black_, _0.29128000000000015
68, _alpha_beta, _white_, _0.41969200000000023
68, _alpha_beta_hash, _black_, _0.30635599999999985
69, _alpha_beta, _white_, _0.3588120000000002
69, _alpha_beta_hash, _black_, _0.34617600000000026
70, _alpha_beta, _white_, _0.14308099999999996
70, _alpha_beta_hash, _black_, _0.23479299999999997
71, _alpha_beta, _white_, _0.18896999999999997
71, _alpha_beta_hash, _black_, _0.13962999999999995
72, _alpha_beta, _white_, _0.350096
72, _alpha_beta_hash, _black_, _0.1814829999999999
73, _alpha_beta, _white_, _0.3740059999999999
73, _alpha_beta_hash, _black_, _0.30824800000000013
74, _alpha_beta, _white_, _0.34103299999999986
74, _alpha_beta_hash, _black_, _0.23393299999999986
75, _alpha_beta, _white_, _0.31312100000000015
75, _alpha_beta_hash, _black_, _0.33109400000000005
76, _alpha_beta, _white_, _0.29130300000000003
76, _alpha_beta_hash, _black_, _0.2143709999999999
77, _alpha_beta, _white_, _0.4151510000000006
77, _alpha_beta_hash, _black_, _0.38051000000000035
78, _alpha_beta, _white_, _0.32274099999999994
78, _alpha_beta_hash, _black_, _0.33903400000000006
79, _alpha_beta, _white_, _0.2990519999999999
79, _alpha_beta_hash, _black_, _0.2350849999999999
80, _alpha_beta, _white_, _0.32052900000000006
80, _alpha_beta_hash, _black_, _0.21469599999999983
81, _alpha_beta, _white_, _0.4343280000000001
81, _alpha_beta_hash, _black_, _0.3494190000000002
82, _alpha_beta, _white_, _0.27584099999999984
82, _alpha_beta_hash, _black_, _0.31671900000000025
83, _alpha_beta, _white_, _0.3079729999999999
83, _alpha_beta_hash, _black_, _0.2980770000000001
84, _alpha_beta, _white_, _0.3223040000000001
84, _alpha_beta_hash, _black_, _0.09477999999999998
85, _alpha_beta, _white_, _0.3186820000000001
85, _alpha_beta_hash, _black_, _0.19715199999999988
86, _alpha_beta, _white_, _0.3071790000000001
86, _alpha_beta_hash, _black_, _0.34704500000000005
87, _alpha_beta, _white_, _0.14459899999999998
87, _alpha_beta_hash, _black_, _0.12443999999999998
88, _alpha_beta, _white_, _0.39077400000000007
88, _alpha_beta_hash, _black_, _0.26149299999999975
89, _alpha_beta, _white_, _0.29423899999999975
89, _alpha_beta_hash, _black_, _0.5175990000000006
90, _alpha_beta, _white_, _0.214432
90, _alpha_beta_hash, _black_, _0.238357
91, _alpha_beta, _white_, _0.09524999999999997
91, _alpha_beta_hash, _black_, _0.11771999999999998
92, _alpha_beta, _white_, _0.5579100000000008
92, _alpha_beta_hash, _black_, _0.45568900000000045
93, _alpha_beta, _white_, _0.4397480000000002
93, _alpha_beta_hash, _black_, _0.25835800000000003
94, _alpha_beta, _white_, _0.3662120000000001
94, _alpha_beta_hash, _black_, _0.29603400000000013
95, _alpha_beta, _white_, _0.4647270000000005
95, _alpha_beta_hash, _black_, _0.2752650000000001
96, _alpha_beta, _white_, _0.6923940000000013
96, _alpha_beta_hash, _black_, _0.5371890000000004
97, _alpha_beta, _white_, _0.3239810000000002
97, _alpha_beta_hash, _black_, _0.3488970000000001
98, _alpha_beta, _white_, _0.32618600000000003
98, _alpha_beta_hash, _black_, _0.34753900000000026
99, _alpha_beta, _white_, _0.4248510000000006
99, _alpha_beta_hash, _black_, _0.26331600000000005
100, _alpha_beta, _white_, _0.31912000000000024
100, _alpha_beta_hash, _black_, _0.23440099999999986
101, _alpha_beta, _white_, _0.38068800000000064
101, _alpha_beta_hash, _black_, _0.3274380000000003
102, _alpha_beta, _white_, _0.2314959999999998
102, _alpha_beta_hash, _black_, _0.3966800000000001
103, _alpha_beta, _white_, _0.31632399999999994
103, _alpha_beta_hash, _black_, _0.24953499999999984
104, _alpha_beta, _white_, _0.390915
104, _alpha_beta_hash, _black_, _0.2992220000000004
105, _alpha_beta, _white_, _0.11272299999999999
105, _alpha_beta_hash, _black_, _0.10372199999999998
106, _alpha_beta, _white_, _0.6352669999999998
106, _alpha_beta_hash, _black_, _0.24937199999999976
107, _alpha_beta, _white_, _0.43835700000000055
107, _alpha_beta_hash, _black_, _0.2882390000000002
108, _alpha_beta, _white_, _0.33835300000000024
108, _alpha_beta_hash, _black_, _0.30259800000000003
109, _alpha_beta, _white_, _0.20953100000000008
109, _alpha_beta_hash, _black_, _0.11170499999999997
110, _alpha_beta, _white_, _0.2668000000000001
110, _alpha_beta_hash, _black_, _0.13958599999999996
111, _alpha_beta, _white_, _0.3807130000000003
111, _alpha_beta_hash, _black_, _0.30784300000000003
112, _alpha_beta, _white_, _0.27317400000000025
112, _alpha_beta_hash, _black_, _0.24045299999999983
113, _alpha_beta, _white_, _0.21744599999999997
113, _alpha_beta_hash, _black_, _0.313013
114, _alpha_beta, _white_, _0.2767620000000001
114, _alpha_beta_hash, _black_, _0.3086800000000001
115, _alpha_beta, _white_, _0.34545400000000076
115, _alpha_beta_hash, _black_, _0.5289670000000003
116, _alpha_beta, _white_, _0.2448099999999999
116, _alpha_beta_hash, _black_, _0.11423699999999995
117, _alpha_beta, _white_, _0.5363400000000001
117, _alpha_beta_hash, _black_, _0.21957099999999988
118, _alpha_beta, _white_, _0.2768629999999999
118, _alpha_beta_hash, _black_, _0.4832560000000001
119, _alpha_beta, _white_, _0.22532599999999983
119, _alpha_beta_hash, _black_, _0.30872300000000014
120, _alpha_beta, _white_, _0.6588070000000003
