game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.13264899999999985
0, _random_rb, _black_, _0.14660799999999982
1, _random, _white_, _0.14062699999999986
1, _random_rb, _black_, _0.15953699999999985
2, _random, _white_, _0.05776799999999997
2, _random_rb, _black_, _0.07096999999999996
3, _random, _white_, _0.03387999999999999
3, _random_rb, _black_, _0.028947000000000004
4, _random, _white_, _0.12067699999999985
4, _random_rb, _black_, _0.1037489999999999
5, _random, _white_, _0.11080399999999989
5, _random_rb, _black_, _0.11578199999999986
6, _random, _white_, _0.0918769999999999
6, _random_rb, _black_, _0.09872899999999989
7, _random, _white_, _0.10036299999999994
7, _random_rb, _black_, _0.11197299999999989
8, _random, _white_, _0.051913
8, _random_rb, _black_, _0.06740199999999999
9, _random, _white_, _0.10575699999999992
9, _random_rb, _black_, _0.08975799999999994
10, _random, _white_, _0.1016069999999999
10, _random_rb, _black_, _0.11874499999999988
11, _random, _white_, _0.08675099999999993
11, _random_rb, _black_, _0.08541899999999991
12, _random, _white_, _0.11170899999999989
12, _random_rb, _black_, _0.11530199999999993
13, _random, _white_, _0.14088199999999987
13, _random_rb, _black_, _0.13628799999999988
14, _random, _white_, _0.2112409999999997
14, _random_rb, _black_, _0.2080149999999997
15, _random, _white_, _0.0029920000000000003
15, _random_rb, _black_, _0.005984
16, _random, _white_, _0.10851599999999992
16, _random_rb, _black_, _0.11712099999999989
17, _random, _white_, _0.06192599999999999
17, _random_rb, _black_, _0.06624099999999997
18, _random, _white_, _0.07890399999999993
18, _random_rb, _black_, _0.07477699999999993
19, _random, _white_, _0.06283199999999996
19, _random_rb, _black_, _0.07679699999999993
20, _random, _white_, _0.16480199999999984
20, _random_rb, _black_, _0.1666399999999998
21, _random, _white_, _0.08382699999999994
21, _random_rb, _black_, _0.07677199999999995
22, _random, _white_, _0.23033099999999967
22, _random_rb, _black_, _0.26036299999999973
23, _random, _white_, _0.035935
23, _random_rb, _black_, _0.05288399999999997
24, _random, _white_, _0.10362299999999992
24, _random_rb, _black_, _0.1181709999999999
25, _random, _white_, _0.37265500000000035
25, _random_rb, _black_, _0.37279800000000024
26, _random, _white_, _0.14875099999999983
26, _random_rb, _black_, _0.1653329999999998
27, _random, _white_, _0.1170709999999999
27, _random_rb, _black_, _0.12279799999999991
28, _random, _white_, _0.13498999999999986
28, _random_rb, _black_, _0.1350949999999999
29, _random, _white_, _0.11433599999999991
29, _random_rb, _black_, _0.12238599999999986
30, _random, _white_, _0.08566899999999994
30, _random_rb, _black_, _0.09381699999999993
31, _random, _white_, _0.12163799999999986
31, _random_rb, _black_, _0.13348799999999983
32, _random, _white_, _0.16662899999999983
32, _random_rb, _black_, _0.16696499999999978
33, _random, _white_, _0.09835599999999992
33, _random_rb, _black_, _0.10986299999999992
34, _random, _white_, _0.12567999999999985
34, _random_rb, _black_, _0.1157339999999999
35, _random, _white_, _0.14486599999999988
35, _random_rb, _black_, _0.1488559999999998
36, _random, _white_, _0.07802599999999994
36, _random_rb, _black_, _0.07764599999999991
37, _random, _white_, _0.10376099999999988
37, _random_rb, _black_, _0.11473899999999987
38, _random, _white_, _0.08371299999999991
38, _random_rb, _black_, _0.07560699999999994
39, _random, _white_, _0.0887649999999999
39, _random_rb, _black_, _0.10574099999999989
40, _random, _white_, _0.0897939999999999
40, _random_rb, _black_, _0.08672999999999992
41, _random, _white_, _0.0922659999999999
41, _random_rb, _black_, _0.0907279999999999
42, _random, _white_, _0.18661799999999973
42, _random_rb, _black_, _0.18142699999999978
43, _random, _white_, _0.017929999999999998
43, _random_rb, _black_, _0.032936
44, _random, _white_, _0.09367999999999993
44, _random_rb, _black_, _0.1127399999999999
45, _random, _white_, _0.024886000000000002
45, _random_rb, _black_, _0.031992
46, _random, _white_, _0.0937039999999999
46, _random_rb, _black_, _0.11475399999999988
47, _random, _white_, _0.1605159999999998
47, _random_rb, _black_, _0.18347499999999975
48, _random, _white_, _0.18941299999999978
48, _random_rb, _black_, _0.1787819999999998
