game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.35109000000000024
0, _alpha_beta_rb, _black_, _0.3445900000000001
1, _alpha_beta, _white_, _0.5114010000000002
1, _alpha_beta_rb, _black_, _0.3840620000000006
2, _alpha_beta, _white_, _0.138635
2, _alpha_beta_rb, _black_, _0.156576
3, _alpha_beta, _white_, _0.3361230000000002
3, _alpha_beta_rb, _black_, _0.33411300000000027
4, _alpha_beta, _white_, _0.292194
4, _alpha_beta_rb, _black_, _0.31515899999999997
5, _alpha_beta, _white_, _0.38303499999999996
5, _alpha_beta_rb, _black_, _0.3022439999999999
6, _alpha_beta, _white_, _0.5612270000000001
6, _alpha_beta_rb, _black_, _0.2470759999999998
7, _alpha_beta, _white_, _0.2664999999999999
7, _alpha_beta_rb, _black_, _0.19246699999999997
8, _alpha_beta, _white_, _0.3026790000000001
8, _alpha_beta_rb, _black_, _0.29304800000000025
9, _alpha_beta, _white_, _0.18901699999999994
9, _alpha_beta_rb, _black_, _0.32644
10, _alpha_beta, _white_, _0.27820700000000004
10, _alpha_beta_rb, _black_, _0.36057000000000033
11, _alpha_beta, _white_, _0.26498000000000005
11, _alpha_beta_rb, _black_, _0.10897499999999996
12, _alpha_beta, _white_, _0.5199570000000007
12, _alpha_beta_rb, _black_, _0.4074760000000005
13, _alpha_beta, _white_, _0.4044610000000006
13, _alpha_beta_rb, _black_, _0.4566350000000003
14, _alpha_beta, _white_, _0.3171279999999999
14, _alpha_beta_rb, _black_, _0.5333320000000005
15, _alpha_beta, _white_, _0.3550190000000005
15, _alpha_beta_rb, _black_, _0.354696
16, _alpha_beta, _white_, _0.31925400000000015
16, _alpha_beta_rb, _black_, _0.3147120000000002
17, _alpha_beta, _white_, _0.4065210000000001
17, _alpha_beta_rb, _black_, _0.3410110000000002
18, _alpha_beta, _white_, _0.32231199999999993
18, _alpha_beta_rb, _black_, _0.23007999999999992
19, _alpha_beta, _white_, _0.2987070000000002
19, _alpha_beta_rb, _black_, _0.2998280000000001
20, _alpha_beta, _white_, _0.45019000000000003
20, _alpha_beta_rb, _black_, _0.21349399999999988
21, _alpha_beta, _white_, _0.38577400000000067
21, _alpha_beta_rb, _black_, _0.5092470000000009
22, _alpha_beta, _white_, _0.2269889999999998
22, _alpha_beta_rb, _black_, _0.4816380000000001
23, _alpha_beta, _white_, _0.36006400000000033
23, _alpha_beta_rb, _black_, _0.3300180000000002
24, _alpha_beta, _white_, _0.4571050000000005
24, _alpha_beta_rb, _black_, _0.35506900000000025
25, _alpha_beta, _white_, _0.32389000000000007
25, _alpha_beta_rb, _black_, _0.1809909999999999
26, _alpha_beta, _white_, _0.31964600000000015
26, _alpha_beta_rb, _black_, _0.16855399999999995
27, _alpha_beta, _white_, _0.18957499999999994
27, _alpha_beta_rb, _black_, _0.32208300000000006
28, _alpha_beta, _white_, _0.32745300000000044
28, _alpha_beta_rb, _black_, _0.49341800000000025
29, _alpha_beta, _white_, _0.393889
29, _alpha_beta_rb, _black_, _0.25335299999999994
30, _alpha_beta, _white_, _0.3479450000000002
30, _alpha_beta_rb, _black_, _0.46690100000000034
31, _alpha_beta, _white_, _0.21218999999999996
31, _alpha_beta_rb, _black_, _0.2857970000000001
32, _alpha_beta, _white_, _0.6293890000000004
32, _alpha_beta_rb, _black_, _0.522875000000001
33, _alpha_beta, _white_, _0.3573510000000002
33, _alpha_beta_rb, _black_, _0.44982100000000036
34, _alpha_beta, _white_, _0.3002640000000001
34, _alpha_beta_rb, _black_, _0.31685199999999997
35, _alpha_beta, _white_, _0.2015159999999999
35, _alpha_beta_rb, _black_, _0.33739200000000014
36, _alpha_beta, _white_, _0.44772800000000035
36, _alpha_beta_rb, _black_, _0.35035400000000044
37, _alpha_beta, _white_, _0.352696
37, _alpha_beta_rb, _black_, _0.3571480000000003
38, _alpha_beta, _white_, _0.41655300000000056
38, _alpha_beta_rb, _black_, _0.48725200000000074
39, _alpha_beta, _white_, _0.4358739999999999
39, _alpha_beta_rb, _black_, _0.39188400000000034
40, _alpha_beta, _white_, _0.25643999999999983
40, _alpha_beta_rb, _black_, _0.38213600000000025
41, _alpha_beta, _white_, _0.16004499999999997
41, _alpha_beta_rb, _black_, _0.141711
42, _alpha_beta, _white_, _0.24573799999999982
42, _alpha_beta_rb, _black_, _0.538508
43, _alpha_beta, _white_, _0.28228600000000004
43, _alpha_beta_rb, _black_, _0.31511000000000017
44, _alpha_beta, _white_, _0.12266
44, _alpha_beta_rb, _black_, _0.109691
45, _alpha_beta, _white_, _0.13262499999999997
45, _alpha_beta_rb, _black_, _0.18752000000000005
46, _alpha_beta, _white_, _0.2533519999999999
46, _alpha_beta_rb, _black_, _0.33410300000000015
47, _alpha_beta, _white_, _0.3260690000000002
47, _alpha_beta_rb, _black_, _0.31175600000000026
48, _alpha_beta, _white_, _0.320456
48, _alpha_beta_rb, _black_, _0.2522119999999998
49, _alpha_beta, _white_, _0.11684099999999999
49, _alpha_beta_rb, _black_, _0.190188
50, _alpha_beta, _white_, _0.2119749999999999
50, _alpha_beta_rb, _black_, _0.40996799999999983
51, _alpha_beta, _white_, _0.4222130000000005
51, _alpha_beta_rb, _black_, _0.2846030000000004
52, _alpha_beta, _white_, _0.3181160000000001
52, _alpha_beta_rb, _black_, _0.3720109999999998
53, _alpha_beta, _white_, _0.23286099999999982
53, _alpha_beta_rb, _black_, _0.4391519999999999
54, _alpha_beta, _white_, _0.28221499999999994
54, _alpha_beta_rb, _black_, _0.3384000000000001
55, _alpha_beta, _white_, _0.6490590000000002
55, _alpha_beta_rb, _black_, _0.21440299999999984
56, _alpha_beta, _white_, _0.262693
56, _alpha_beta_rb, _black_, _0.4709960000000001
57, _alpha_beta, _white_, _0.08377399999999999
57, _alpha_beta_rb, _black_, _0.087766
58, _alpha_beta, _white_, _0.3060960000000002
58, _alpha_beta_rb, _black_, _0.1975559999999999
59, _alpha_beta, _white_, _0.7153070000000005
59, _alpha_beta_rb, _black_, _0.44670900000000086
60, _alpha_beta, _white_, _0.36245100000000036
60, _alpha_beta_rb, _black_, _0.3633850000000004
61, _alpha_beta, _white_, _0.3679990000000001
61, _alpha_beta_rb, _black_, _0.2972210000000002
62, _alpha_beta, _white_, _0.261648
62, _alpha_beta_rb, _black_, _0.10762
63, _alpha_beta, _white_, _0.3207550000000002
63, _alpha_beta_rb, _black_, _0.40036300000000014
64, _alpha_beta, _white_, _0.051808
64, _alpha_beta_rb, _black_, _0.055876999999999996
65, _alpha_beta, _white_, _0.3481339999999999
65, _alpha_beta_rb, _black_, _0.2542289999999999
66, _alpha_beta, _white_, _0.43161400000000016
66, _alpha_beta_rb, _black_, _0.4101540000000002
67, _alpha_beta, _white_, _0.28562599999999994
67, _alpha_beta_rb, _black_, _0.3981180000000003
68, _alpha_beta, _white_, _0.29199299999999995
68, _alpha_beta_rb, _black_, _0.17729199999999992
69, _alpha_beta, _white_, _0.5141210000000002
69, _alpha_beta_rb, _black_, _0.6786960000000007
70, _alpha_beta, _white_, _0.39186800000000027
70, _alpha_beta_rb, _black_, _0.4601090000000001
71, _alpha_beta, _white_, _0.2747409999999999
71, _alpha_beta_rb, _black_, _0.27290099999999995
72, _alpha_beta, _white_, _0.29824300000000004
72, _alpha_beta_rb, _black_, _0.25126099999999985
73, _alpha_beta, _white_, _0.25226699999999996
73, _alpha_beta_rb, _black_, _0.3681000000000002
74, _alpha_beta, _white_, _0.6124770000000007
74, _alpha_beta_rb, _black_, _0.6373550000000007
75, _alpha_beta, _white_, _0.3086350000000001
75, _alpha_beta_rb, _black_, _0.249996
76, _alpha_beta, _white_, _0.169679
76, _alpha_beta_rb, _black_, _0.15379900000000002
77, _alpha_beta, _white_, _0.41985200000000006
77, _alpha_beta_rb, _black_, _0.3661680000000005
78, _alpha_beta, _white_, _0.3400240000000001
78, _alpha_beta_rb, _black_, _0.2364339999999999
79, _alpha_beta, _white_, _0.2772640000000001
79, _alpha_beta_rb, _black_, _0.20143899999999998
80, _alpha_beta, _white_, _0.2535989999999999
80, _alpha_beta_rb, _black_, _0.4677340000000001
81, _alpha_beta, _white_, _0.2819669999999999
81, _alpha_beta_rb, _black_, _0.3746630000000003
82, _alpha_beta, _white_, _0.45453499999999997
82, _alpha_beta_rb, _black_, _0.2246829999999999
83, _alpha_beta, _white_, _0.4242199999999999
83, _alpha_beta_rb, _black_, _0.3604450000000004
84, _alpha_beta, _white_, _0.23693499999999998
84, _alpha_beta_rb, _black_, _0.42025100000000015
85, _alpha_beta, _white_, _0.3705880000000002
85, _alpha_beta_rb, _black_, _0.2745469999999998
86, _alpha_beta, _white_, _0.23434299999999994
86, _alpha_beta_rb, _black_, _0.307209
87, _alpha_beta, _white_, _0.2413259999999998
87, _alpha_beta_rb, _black_, _0.36009100000000027
88, _alpha_beta, _white_, _0.3800609999999999
88, _alpha_beta_rb, _black_, _0.3619530000000003
89, _alpha_beta, _white_, _0.34009300000000003
89, _alpha_beta_rb, _black_, _0.2542919999999999
90, _alpha_beta, _white_, _0.37188200000000005
90, _alpha_beta_rb, _black_, _0.2713979999999999
91, _alpha_beta, _white_, _0.42225600000000074
91, _alpha_beta_rb, _black_, _0.37817600000000057
92, _alpha_beta, _white_, _0.3063010000000001
92, _alpha_beta_rb, _black_, _0.2367699999999999
93, _alpha_beta, _white_, _0.17657899999999996
93, _alpha_beta_rb, _black_, _0.24931100000000006
94, _alpha_beta, _white_, _0.17148400000000005
94, _alpha_beta_rb, _black_, _0.080842
95, _alpha_beta, _white_, _0.048956999999999994
95, _alpha_beta_rb, _black_, _0.07571
96, _alpha_beta, _white_, _0.5005890000000001
96, _alpha_beta_rb, _black_, _0.22344899999999993
97, _alpha_beta, _white_, _0.3212220000000002
97, _alpha_beta_rb, _black_, _0.2034019999999999
98, _alpha_beta, _white_, _0.6033910000000001
98, _alpha_beta_rb, _black_, _0.47469300000000075
99, _alpha_beta, _white_, _0.081724
99, _alpha_beta_rb, _black_, _0.047935
100, _alpha_beta, _white_, _0.22541799999999984
100, _alpha_beta_rb, _black_, _0.37197400000000025
101, _alpha_beta, _white_, _0.28224699999999997
101, _alpha_beta_rb, _black_, _0.3291179999999999
102, _alpha_beta, _white_, _0.34461200000000003
102, _alpha_beta_rb, _black_, _0.16640899999999997
103, _alpha_beta, _white_, _0.3037759999999999
103, _alpha_beta_rb, _black_, _0.5526060000000003
104, _alpha_beta, _white_, _0.2585249999999999
104, _alpha_beta_rb, _black_, _0.525769
105, _alpha_beta, _white_, _0.08671699999999999
105, _alpha_beta_rb, _black_, _0.11726999999999999
106, _alpha_beta, _white_, _0.25601700000000005
106, _alpha_beta_rb, _black_, _0.132464
107, _alpha_beta, _white_, _0.3700120000000001
107, _alpha_beta_rb, _black_, _0.34604900000000044
108, _alpha_beta, _white_, _0.8140180000000004
108, _alpha_beta_rb, _black_, _0.45352500000000096
109, _alpha_beta, _white_, _0.277296
109, _alpha_beta_rb, _black_, _0.33210100000000004
110, _alpha_beta, _white_, _0.30560099999999984
110, _alpha_beta_rb, _black_, _0.4933670000000003
111, _alpha_beta, _white_, _0.340592
111, _alpha_beta_rb, _black_, _0.18365299999999998
112, _alpha_beta, _white_, _0.19348199999999993
112, _alpha_beta_rb, _black_, _0.6343049999999999
113, _alpha_beta, _white_, _0.220466
113, _alpha_beta_rb, _black_, _0.168521
114, _alpha_beta, _white_, _0.32322199999999995
114, _alpha_beta_rb, _black_, _0.2884070000000002
115, _alpha_beta, _white_, _0.1965299999999999
115, _alpha_beta_rb, _black_, _0.2963690000000001
116, _alpha_beta, _white_, _0.5716110000000005
116, _alpha_beta_rb, _black_, _0.4668310000000006
117, _alpha_beta, _white_, _0.3540110000000002
117, _alpha_beta_rb, _black_, _0.24040099999999984
118, _alpha_beta, _white_, _0.288185
118, _alpha_beta_rb, _black_, _0.4375090000000001
119, _alpha_beta, _white_, _0.23984900000000003
119, _alpha_beta_rb, _black_, _0.10977399999999994
120, _alpha_beta, _white_, _0.4728560000000002
120, _alpha_beta_rb, _black_, _0.317157
121, _alpha_beta, _white_, _0.2934819999999999
121, _alpha_beta_rb, _black_, _0.2734040000000001
122, _alpha_beta, _white_, _0.44618600000000014
122, _alpha_beta_rb, _black_, _0.25266399999999983
123, _alpha_beta, _white_, _0.4586080000000006
123, _alpha_beta_rb, _black_, _0.4149640000000005
124, _alpha_beta, _white_, _0.4203930000000003
124, _alpha_beta_rb, _black_, _0.3383500000000002
125, _alpha_beta, _white_, _0.4183710000000001
125, _alpha_beta_rb, _black_, _0.29576900000000017
126, _alpha_beta, _white_, _0.5367140000000001
126, _alpha_beta_rb, _black_, _0.3073090000000001
127, _alpha_beta, _white_, _0.3296180000000002
127, _alpha_beta_rb, _black_, _0.2540389999999999
128, _alpha_beta, _white_, _0.379857
128, _alpha_beta_rb, _black_, _0.34883300000000017
129, _alpha_beta, _white_, _0.278887
129, _alpha_beta_rb, _black_, _0.23700899999999997
130, _alpha_beta, _white_, _0.17030099999999992
130, _alpha_beta_rb, _black_, _0.28420599999999996
131, _alpha_beta, _white_, _0.30881200000000014
131, _alpha_beta_rb, _black_, _0.4132820000000003
132, _alpha_beta, _white_, _0.18453500000000003
132, _alpha_beta_rb, _black_, _0.102728
133, _alpha_beta, _white_, _0.3660100000000001
133, _alpha_beta_rb, _black_, _0.26434500000000005
