game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.286239
0, _alpha_beta_splay, _black_, _0.14062899999999995
1, _alpha_beta, _white_, _0.3276710000000001
1, _alpha_beta_splay, _black_, _0.2895019999999999
2, _alpha_beta, _white_, _0.5515480000000005
2, _alpha_beta_splay, _black_, _0.3551060000000005
3, _alpha_beta, _white_, _0.144583
3, _alpha_beta_splay, _black_, _0.06486199999999999
4, _alpha_beta, _white_, _0.4926450000000004
4, _alpha_beta_splay, _black_, _0.32809700000000036
5, _alpha_beta, _white_, _0.076825
5, _alpha_beta_splay, _black_, _0.104778
6, _alpha_beta, _white_, _0.4853880000000001
6, _alpha_beta_splay, _black_, _0.26336199999999993
7, _alpha_beta, _white_, _0.2998950000000002
7, _alpha_beta_splay, _black_, _0.38261399999999995
8, _alpha_beta, _white_, _0.09679399999999999
8, _alpha_beta_splay, _black_, _0.027845
9, _alpha_beta, _white_, _0.22239399999999993
9, _alpha_beta_splay, _black_, _0.3065840000000001
10, _alpha_beta, _white_, _0.29094900000000007
10, _alpha_beta_splay, _black_, _0.28484899999999996
11, _alpha_beta, _white_, _0.15168299999999996
11, _alpha_beta_splay, _black_, _0.19248799999999996
12, _alpha_beta, _white_, _0.4641580000000002
12, _alpha_beta_splay, _black_, _0.264521
13, _alpha_beta, _white_, _0.31804800000000016
13, _alpha_beta_splay, _black_, _0.28894900000000046
14, _alpha_beta, _white_, _0.3922000000000003
14, _alpha_beta_splay, _black_, _0.30777400000000005
15, _alpha_beta, _white_, _0.09975699999999998
15, _alpha_beta_splay, _black_, _0.17055600000000004
16, _alpha_beta, _white_, _0.24835199999999985
16, _alpha_beta_splay, _black_, _0.29420199999999996
17, _alpha_beta, _white_, _0.5808490000000004
17, _alpha_beta_splay, _black_, _0.5567060000000007
18, _alpha_beta, _white_, _0.4667630000000002
18, _alpha_beta_splay, _black_, _0.3141640000000002
19, _alpha_beta, _white_, _0.25891099999999995
19, _alpha_beta_splay, _black_, _0.5271560000000003
20, _alpha_beta, _white_, _0.4152860000000001
20, _alpha_beta_splay, _black_, _0.256716
21, _alpha_beta, _white_, _0.17464400000000002
21, _alpha_beta_splay, _black_, _0.177297
22, _alpha_beta, _white_, _0.315818
22, _alpha_beta_splay, _black_, _0.24693500000000002
23, _alpha_beta, _white_, _0.46155600000000063
23, _alpha_beta_splay, _black_, _0.4446310000000007
24, _alpha_beta, _white_, _0.1834889999999999
24, _alpha_beta_splay, _black_, _0.3979750000000003
25, _alpha_beta, _white_, _0.333029
25, _alpha_beta_splay, _black_, _0.1995209999999999
26, _alpha_beta, _white_, _0.46698599999999996
26, _alpha_beta_splay, _black_, _0.3490970000000004
27, _alpha_beta, _white_, _0.26784200000000014
