game_number, agent_type, agent_color, agent_decision_time
0, _alpha_beta, _white_, _0.4248610000000006
0, _alpha_beta_hash, _black_, _0.37855500000000075
1, _alpha_beta, _white_, _0.571952
1, _alpha_beta_hash, _black_, _0.2234169999999998
2, _alpha_beta, _white_, _0.022931
2, _alpha_beta_hash, _black_, _0.031920000000000004
3, _alpha_beta, _white_, _0.36076899999999995
3, _alpha_beta_hash, _black_, _0.3474080000000002
4, _alpha_beta, _white_, _0.25892299999999985
4, _alpha_beta_hash, _black_, _0.2334659999999999
5, _alpha_beta, _white_, _0.23641599999999985
5, _alpha_beta_hash, _black_, _0.30346799999999996
6, _alpha_beta, _white_, _0.3425480000000001
6, _alpha_beta_hash, _black_, _0.23834999999999992
7, _alpha_beta, _white_, _0.3761320000000003
7, _alpha_beta_hash, _black_, _0.32123899999999994
8, _alpha_beta, _white_, _0.14074399999999995
8, _alpha_beta_hash, _black_, _0.22775200000000012
9, _alpha_beta, _white_, _0.28756300000000024
9, _alpha_beta_hash, _black_, _0.4249410000000002
10, _alpha_beta, _white_, _0.40401799999999993
10, _alpha_beta_hash, _black_, _0.22885400000000003
11, _alpha_beta, _white_, _0.2912050000000001
11, _alpha_beta_hash, _black_, _0.20483199999999996
12, _alpha_beta, _white_, _0.2205839999999999
12, _alpha_beta_hash, _black_, _0.2512819999999999
13, _alpha_beta, _white_, _0.2193879999999999
13, _alpha_beta_hash, _black_, _0.41092600000000024
14, _alpha_beta, _white_, _0.24940699999999993
14, _alpha_beta_hash, _black_, _0.35939400000000016
15, _alpha_beta, _white_, _0.171242
15, _alpha_beta_hash, _black_, _0.211534
16, _alpha_beta, _white_, _0.14045599999999997
16, _alpha_beta_hash, _black_, _0.2785380000000002
17, _alpha_beta, _white_, _0.25804799999999994
17, _alpha_beta_hash, _black_, _0.3240300000000001
18, _alpha_beta, _white_, _0.23689999999999983
18, _alpha_beta_hash, _black_, _0.31615000000000015
19, _alpha_beta, _white_, _0.1845199999999999
19, _alpha_beta_hash, _black_, _0.2405339999999999
20, _alpha_beta, _white_, _0.37303800000000054
20, _alpha_beta_hash, _black_, _0.3198910000000003
21, _alpha_beta, _white_, _0.2985430000000002
21, _alpha_beta_hash, _black_, _0.30877799999999994
22, _alpha_beta, _white_, _0.3312439999999999
22, _alpha_beta_hash, _black_, _0.3928540000000003
23, _alpha_beta, _white_, _0.3170540000000004
23, _alpha_beta_hash, _black_, _0.44887200000000016
24, _alpha_beta, _white_, _0.36703300000000016
24, _alpha_beta_hash, _black_, _0.20446499999999987
25, _alpha_beta, _white_, _0.23147399999999987
25, _alpha_beta_hash, _black_, _0.5938529999999999
26, _alpha_beta, _white_, _0.42790999999999985
26, _alpha_beta_hash, _black_, _0.23792899999999995
27, _alpha_beta, _white_, _0.371735
27, _alpha_beta_hash, _black_, _0.158786
28, _alpha_beta, _white_, _0.36003200000000013
28, _alpha_beta_hash, _black_, _0.24186599999999983
29, _alpha_beta, _white_, _0.28124499999999997
29, _alpha_beta_hash, _black_, _0.31319099999999994
30, _alpha_beta, _white_, _0.37702600000000036
30, _alpha_beta_hash, _black_, _0.3406120000000002
31, _alpha_beta, _white_, _0.4160590000000003
31, _alpha_beta_hash, _black_, _0.25760200000000005
32, _alpha_beta, _white_, _0.22942399999999982
32, _alpha_beta_hash, _black_, _0.28719899999999987
33, _alpha_beta, _white_, _0.29222
33, _alpha_beta_hash, _black_, _0.39660799999999996
34, _alpha_beta, _white_, _0.28689800000000026
34, _alpha_beta_hash, _black_, _0.3229440000000002
35, _alpha_beta, _white_, _0.18694499999999994
35, _alpha_beta_hash, _black_, _0.24722399999999997
36, _alpha_beta, _white_, _0.16814199999999999
36, _alpha_beta_hash, _black_, _0.21589199999999995
37, _alpha_beta, _white_, _0.44172700000000037
37, _alpha_beta_hash, _black_, _0.3980180000000004
38, _alpha_beta, _white_, _0.3780620000000001
38, _alpha_beta_hash, _black_, _0.3246340000000004
39, _alpha_beta, _white_, _0.14757099999999998
39, _alpha_beta_hash, _black_, _0.25732000000000005
40, _alpha_beta, _white_, _0.3569110000000005
40, _alpha_beta_hash, _black_, _0.3421380000000003
41, _alpha_beta, _white_, _0.4501230000000002
41, _alpha_beta_hash, _black_, _0.33658299999999997
42, _alpha_beta, _white_, _0.13524199999999997
42, _alpha_beta_hash, _black_, _0.22684300000000004
43, _alpha_beta, _white_, _0.18545699999999993
43, _alpha_beta_hash, _black_, _0.243394
44, _alpha_beta, _white_, _0.3143670000000001
44, _alpha_beta_hash, _black_, _0.283111
45, _alpha_beta, _white_, _0.27378
45, _alpha_beta_hash, _black_, _0.17206599999999994
46, _alpha_beta, _white_, _0.6290219999999999
46, _alpha_beta_hash, _black_, _0.30942800000000015
47, _alpha_beta, _white_, _0.45001600000000025
47, _alpha_beta_hash, _black_, _0.1603959999999999
48, _alpha_beta, _white_, _0.21686499999999997
48, _alpha_beta_hash, _black_, _0.2301969999999999
49, _alpha_beta, _white_, _0.12527
49, _alpha_beta_hash, _black_, _0.19274700000000003
50, _alpha_beta, _white_, _0.4274870000000003
50, _alpha_beta_hash, _black_, _0.3837930000000006
51, _alpha_beta, _white_, _0.2767959999999998
51, _alpha_beta_hash, _black_, _0.38072999999999996
52, _alpha_beta, _white_, _0.3162860000000002
52, _alpha_beta_hash, _black_, _0.31991500000000006
53, _alpha_beta, _white_, _0.3032760000000004
53, _alpha_beta_hash, _black_, _0.3614890000000002
54, _alpha_beta, _white_, _0.34264600000000056
54, _alpha_beta_hash, _black_, _0.35218099999999997
55, _alpha_beta, _white_, _0.3347
55, _alpha_beta_hash, _black_, _0.24777599999999994
56, _alpha_beta, _white_, _0.134031
56, _alpha_beta_hash, _black_, _0.091923
57, _alpha_beta, _white_, _0.4488939999999999
57, _alpha_beta_hash, _black_, _0.2312849999999999
58, _alpha_beta, _white_, _0.12472899999999999
58, _alpha_beta_hash, _black_, _0.068755
59, _alpha_beta, _white_, _0.3948770000000004
59, _alpha_beta_hash, _black_, _0.47282700000000044
60, _alpha_beta, _white_, _0.33823100000000056
60, _alpha_beta_hash, _black_, _0.49357100000000026
61, _alpha_beta, _white_, _0.3444180000000003
61, _alpha_beta_hash, _black_, _0.3104160000000002
62, _alpha_beta, _white_, _0.29760100000000017
62, _alpha_beta_hash, _black_, _0.4071560000000002
63, _alpha_beta, _white_, _0.40892400000000023
63, _alpha_beta_hash, _black_, _0.39996100000000073
64, _alpha_beta, _white_, _0.23037199999999985
64, _alpha_beta_hash, _black_, _0.4587800000000002
65, _alpha_beta, _white_, _0.20943399999999987
65, _alpha_beta_hash, _black_, _0.3839820000000001
66, _alpha_beta, _white_, _0.3641030000000002
66, _alpha_beta_hash, _black_, _0.18853199999999992
67, _alpha_beta, _white_, _0.319704
67, _alpha_beta_hash, _black_, _0.354646
68, _alpha_beta, _white_, _0.3902310000000003
68, _alpha_beta_hash, _black_, _0.31562500000000027
69, _alpha_beta, _white_, _0.2682320000000001
69, _alpha_beta_hash, _black_, _0.25744
70, _alpha_beta, _white_, _0.1884599999999999
70, _alpha_beta_hash, _black_, _0.32049600000000006
71, _alpha_beta, _white_, _0.34377899999999995
71, _alpha_beta_hash, _black_, _0.21965699999999985
72, _alpha_beta, _white_, _0.23130999999999982
72, _alpha_beta_hash, _black_, _0.3521160000000001
73, _alpha_beta, _white_, _0.113053
73, _alpha_beta_hash, _black_, _0.043066999999999994
74, _alpha_beta, _white_, _0.4789170000000002
74, _alpha_beta_hash, _black_, _0.34902600000000056
75, _alpha_beta, _white_, _0.28987400000000013
75, _alpha_beta_hash, _black_, _0.28924500000000014
76, _alpha_beta, _white_, _0.4859840000000003
76, _alpha_beta_hash, _black_, _0.42143600000000037
77, _alpha_beta, _white_, _0.206546
77, _alpha_beta_hash, _black_, _0.20737699999999987
78, _alpha_beta, _white_, _0.2758060000000001
78, _alpha_beta_hash, _black_, _0.2309989999999999
79, _alpha_beta, _white_, _0.20617699999999997
79, _alpha_beta_hash, _black_, _0.36905200000000016
80, _alpha_beta, _white_, _0.4191010000000001
80, _alpha_beta_hash, _black_, _0.23645099999999988
81, _alpha_beta, _white_, _0.23411599999999985
81, _alpha_beta_hash, _black_, _0.2539940000000001
82, _alpha_beta, _white_, _0.2298729999999999
82, _alpha_beta_hash, _black_, _0.335747
83, _alpha_beta, _white_, _0.37009800000000015
83, _alpha_beta_hash, _black_, _0.3030760000000004
84, _alpha_beta, _white_, _0.21847099999999983
84, _alpha_beta_hash, _black_, _0.29714999999999975
85, _alpha_beta, _white_, _0.3091490000000002
85, _alpha_beta_hash, _black_, _0.393971
86, _alpha_beta, _white_, _0.2619629999999998
86, _alpha_beta_hash, _black_, _0.2554120000000001
87, _alpha_beta, _white_, _0.37373400000000045
87, _alpha_beta_hash, _black_, _0.33231900000000064
88, _alpha_beta, _white_, _0.09035199999999999
88, _alpha_beta_hash, _black_, _0.032909999999999995
89, _alpha_beta, _white_, _0.24472199999999997
89, _alpha_beta_hash, _black_, _0.2770579999999999
90, _alpha_beta, _white_, _0.427487
90, _alpha_beta_hash, _black_, _0.2345779999999999
91, _alpha_beta, _white_, _0.062775
91, _alpha_beta_hash, _black_, _0.057844999999999994
92, _alpha_beta, _white_, _0.125674
92, _alpha_beta_hash, _black_, _0.030938000000000004
93, _alpha_beta, _white_, _0.3898829999999999
93, _alpha_beta_hash, _black_, _0.31625900000000023
94, _alpha_beta, _white_, _0.32612299999999983
94, _alpha_beta_hash, _black_, _0.34209700000000026
95, _alpha_beta, _white_, _0.3871680000000003
95, _alpha_beta_hash, _black_, _0.3708120000000001
96, _alpha_beta, _white_, _0.28803499999999993
96, _alpha_beta_hash, _black_, _0.27314800000000006
97, _alpha_beta, _white_, _0.46406000000000003
97, _alpha_beta_hash, _black_, _0.3276340000000001
98, _alpha_beta, _white_, _0.30524
98, _alpha_beta_hash, _black_, _0.33302700000000013
99, _alpha_beta, _white_, _0.3131970000000001
99, _alpha_beta_hash, _black_, _0.3791580000000003
100, _alpha_beta, _white_, _0.30142499999999983
100, _alpha_beta_hash, _black_, _0.515622
101, _alpha_beta, _white_, _0.5630959999999999
101, _alpha_beta_hash, _black_, _0.20861099999999988
102, _alpha_beta, _white_, _0.25656499999999993
102, _alpha_beta_hash, _black_, _0.31570600000000015
103, _alpha_beta, _white_, _0.1775339999999999
103, _alpha_beta_hash, _black_, _0.40817299999999995
104, _alpha_beta, _white_, _0.4148360000000001
104, _alpha_beta_hash, _black_, _0.2199279999999999
105, _alpha_beta, _white_, _0.463941
105, _alpha_beta_hash, _black_, _0.14370099999999997
106, _alpha_beta, _white_, _0.345713
106, _alpha_beta_hash, _black_, _0.14562199999999997
107, _alpha_beta, _white_, _0.3441739999999999
107, _alpha_beta_hash, _black_, _0.3121640000000002
108, _alpha_beta, _white_, _0.31547500000000017
108, _alpha_beta_hash, _black_, _0.28467900000000007
109, _alpha_beta, _white_, _0.503571
109, _alpha_beta_hash, _black_, _0.27443900000000016
110, _alpha_beta, _white_, _0.24075
110, _alpha_beta_hash, _black_, _0.27645699999999995
111, _alpha_beta, _white_, _0.24952799999999978
111, _alpha_beta_hash, _black_, _0.34644500000000034
112, _alpha_beta, _white_, _0.22449199999999989
112, _alpha_beta_hash, _black_, _0.2632489999999999
