game_number, agent_type, agent_color, agent_decision_time
0, _random, _white_, _0.17328199999999977
0, _random_avl, _black_, _0.16548399999999985
1, _random, _white_, _0.07289399999999996
1, _random_avl, _black_, _0.08469099999999993
2, _random, _white_, _0.10276499999999988
2, _random_avl, _black_, _0.11674399999999993
3, _random, _white_, _0.06279899999999997
3, _random_avl, _black_, _0.09475399999999991
4, _random, _white_, _0.15647999999999984
4, _random_avl, _black_, _0.17154499999999978
5, _random, _white_, _0.1679489999999998
5, _random_avl, _black_, _0.17034399999999977
6, _random, _white_, _0.21541899999999978
6, _random_avl, _black_, _0.2269239999999997
7, _random, _white_, _0.011994000000000001
7, _random_avl, _black_, _0.026950000000000005
8, _random, _white_, _0.001001
8, _random_avl, _black_, _0.0022
9, _random, _white_, _0.19073699999999974
9, _random_avl, _black_, _0.19655199999999978
10, _random, _white_, _0.09376599999999995
10, _random_avl, _black_, _0.09271599999999991
11, _random, _white_, _0.16961999999999977
11, _random_avl, _black_, _0.19140099999999974
12, _random, _white_, _0.1442269999999998
12, _random_avl, _black_, _0.1304329999999999
13, _random, _white_, _0.005013999999999999
13, _random_avl, _black_, _0.002064
14, _random, _white_, _0.08484499999999992
14, _random_avl, _black_, _0.1025519999999999
15, _random, _white_, _0.1046009999999999
15, _random_avl, _black_, _0.1027819999999999
16, _random, _white_, _0.022967000000000005
16, _random_avl, _black_, _0.024906000000000008
17, _random, _white_, _0.024929000000000003
17, _random_avl, _black_, _0.034887
18, _random, _white_, _0.11585399999999993
18, _random_avl, _black_, _0.10089599999999994
19, _random, _white_, _0.10094599999999992
19, _random_avl, _black_, _0.11097899999999988
20, _random, _white_, _0.1066659999999999
20, _random_avl, _black_, _0.11544199999999989
21, _random, _white_, _0.009972
21, _random_avl, _black_, _0.012941000000000001
22, _random, _white_, _0.1136789999999999
22, _random_avl, _black_, _0.1296859999999999
23, _random, _white_, _0.1045979999999999
23, _random_avl, _black_, _0.13365699999999986
24, _random, _white_, _0.058828999999999965
24, _random_avl, _black_, _0.06979099999999996
25, _random, _white_, _0.1916219999999998
25, _random_avl, _black_, _0.2084399999999997
26, _random, _white_, _0.1617519999999998
26, _random_avl, _black_, _0.1900039999999998
27, _random, _white_, _0.1742139999999998
27, _random_avl, _black_, _0.1936809999999998
28, _random, _white_, _0.006979999999999999
28, _random_avl, _black_, _0.010971
29, _random, _white_, _0.07386099999999997
29, _random_avl, _black_, _0.07875999999999994
30, _random, _white_, _0.09889399999999993
30, _random_avl, _black_, _0.10921999999999991
31, _random, _white_, _0.06824399999999997
31, _random_avl, _black_, _0.06991099999999999
32, _random, _white_, _0.08188199999999998
32, _random_avl, _black_, _0.09871099999999994
33, _random, _white_, _0.09466299999999994
33, _random_avl, _black_, _0.10679499999999992
34, _random, _white_, _0.19540999999999975
34, _random_avl, _black_, _0.19746499999999975
35, _random, _white_, _0.1586309999999998
35, _random_avl, _black_, _0.15675099999999983
36, _random, _white_, _0.09508499999999989
36, _random_avl, _black_, _0.10967499999999991
37, _random, _white_, _0.024962000000000005
37, _random_avl, _black_, _0.029095000000000006
38, _random, _white_, _0.14931799999999987
38, _random_avl, _black_, _0.15964799999999982
39, _random, _white_, _0.08014999999999994
39, _random_avl, _black_, _0.07579999999999994
40, _random, _white_, _0.0857419999999999
40, _random_avl, _black_, _0.11075799999999987
41, _random, _white_, _0.15970299999999985
41, _random_avl, _black_, _0.18339399999999978
42, _random, _white_, _0.10663099999999992
42, _random_avl, _black_, _0.12282799999999985
43, _random, _white_, _0.15912599999999985
43, _random_avl, _black_, _0.17810699999999982
44, _random, _white_, _0.15829899999999986
44, _random_avl, _black_, _0.14594499999999985
45, _random, _white_, _0.14858699999999983
45, _random_avl, _black_, _0.15429799999999982
46, _random, _white_, _0.07283699999999996
46, _random_avl, _black_, _0.08872899999999995
47, _random, _white_, _0.047799999999999995
47, _random_avl, _black_, _0.033927
48, _random, _white_, _0.0
48, _random_avl, _black_, _0.000997
49, _random, _white_, _0.12314599999999985
49, _random_avl, _black_, _0.14837199999999984
50, _random, _white_, _0.02493800000000001
50, _random_avl, _black_, _0.027913000000000007
51, _random, _white_, _0.1099979999999999
51, _random_avl, _black_, _0.14695699999999984
52, _random, _white_, _0.08681999999999991
52, _random_avl, _black_, _0.0895829999999999
53, _random, _white_, _0.09049399999999994
53, _random_avl, _black_, _0.1026959999999999
54, _random, _white_, _0.10287499999999991
54, _random_avl, _black_, _0.09959999999999991
55, _random, _white_, _0.1492139999999998
55, _random_avl, _black_, _0.14966799999999983
56, _random, _white_, _0.09419199999999991
56, _random_avl, _black_, _0.1008479999999999
57, _random, _white_, _0.13759499999999983
57, _random_avl, _black_, _0.13469799999999987
58, _random, _white_, _0.08976599999999992
58, _random_avl, _black_, _0.10870499999999987
59, _random, _white_, _0.0967779999999999
