game_number	agent_type	agent_color	agent_depth	agent_num_moves	agent_decision_time	game_result
63	random	white	0	19	0.004397	-1
63	alphabeta2	black	2	19	12.135525000000001	1
64	random	white	0	27	0.00678	-1
64	alphabeta2	black	2	27	15.182455999999998	1
65	random	white	0	17	0.003935999999999999	-1
65	alphabeta2	black	2	17	9.049828	1
66	random	white	0	28	0.006859999999999999	-1
66	alphabeta2	black	2	28	13.918802000000005	1
67	random	white	0	33	0.009028999999999999	-1
67	alphabeta2	black	2	33	22.225198000000002	1
68	random	white	0	16	0.0035049999999999994	-1
68	alphabeta2	black	2	16	10.13351	1
69	random	white	0	5	0.000922	-1
69	alphabeta2	black	2	5	2.134562	1
70	random	white	0	16	0.003401	-1
70	alphabeta2	black	2	16	8.271155	1
71	random	white	0	18	0.004312999999999999	-1
71	alphabeta2	black	2	18	9.472164000000001	1
72	random	white	0	24	0.0057729999999999995	-1
72	alphabeta2	black	2	24	16.175423	1
73	random	white	0	25	0.006115999999999999	-1
73	alphabeta2	black	2	25	13.262476	1
74	random	white	0	10	0.002075	-1
74	alphabeta2	black	2	10	4.733807	1
75	random	white	0	23	0.005415999999999999	-1
75	alphabeta2	black	2	23	13.614389000000001	1
76	random	white	0	3	0.0005059999999999999	-1
76	alphabeta2	black	2	3	0.669212	1
77	random	white	0	49	0.018285999999999997	-1
77	alphabeta2	black	2	49	27.268945999999993	1
78	random	white	0	2	0.00028799999999999995	-1
78	alphabeta2	black	2	2	0.254001	1
79	random	white	0	21	0.004928999999999999	-1
79	alphabeta2	black	2	21	12.447658	1
80	random	white	0	7	0.001187	-1
80	alphabeta2	black	2	7	2.287427	1
81	random	white	0	46	0.014142	-1
81	alphabeta2	black	2	46	19.513478000000006	1
82	random	white	0	72	0.031548999999999994	-1
82	alphabeta2	black	2	72	22.619908000000006	1
83	random	white	0	11	0.002321	-1
83	alphabeta2	black	2	11	5.635388000000001	1
84	random	white	0	32	0.008981	-1
84	alphabeta2	black	2	32	19.119858999999998	1
85	random	white	0	21	0.005476	-1
85	alphabeta2	black	2	21	15.527462000000002	1
86	random	white	0	8	0.001693	-1
86	alphabeta2	black	2	8	4.579341	1
87	random	white	0	25	0.024791	-1
87	alphabeta2	black	2	25	22.9554	1
88	random	white	0	25	0.007440999999999999	-1
88	alphabeta2	black	2	25	15.538402	1
89	random	white	0	22	0.006318000000000001	-1
89	alphabeta2	black	2	22	18.632461000000003	1
90	random	white	0	34	0.010988	-1
90	alphabeta2	black	2	34	23.336847000000006	1
91	random	white	0	3	0.000543	-1
91	alphabeta2	black	2	3	0.69005	1
92	random	white	0	24	0.005858999999999999	-1
92	alphabeta2	black	2	24	15.185201000000001	1
93	random	white	0	40	0.015844999999999998	-1
93	alphabeta2	black	2	40	27.465514	1
94	random	white	0	20	0.005340000000000001	-1
94	alphabeta2	black	2	20	12.552098	1
95	random	white	0	39	0.011488000000000002	-1
95	alphabeta2	black	2	39	20.61441	1
96	random	white	0	20	0.004662	-1
96	alphabeta2	black	2	20	13.820313999999998	1
97	random	white	0	26	0.006680999999999999	-1
97	alphabeta2	black	2	26	15.906545000000001	1
98	random	white	0	24	0.006073999999999999	-1
98	alphabeta2	black	2	24	13.248657	1
99	random	white	0	10	0.002045	-1
99	alphabeta2	black	2	10	4.231506	1
